2017-04-25 16:28:56,551 [Worker-1] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2017-04-25 16:29:57,898 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: ClientExcutor:ClientExcutor:0.0.1-SNAPSHOT @ D:\project\eclipse\ControlAndroid\ClientExcutor\pom.xml.
2017-04-25 16:29:57,898 [Worker-12] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: ClientExcutor:ClientExcutor:0.0.1-SNAPSHOT @ D:\project\eclipse\ControlAndroid\ClientExcutor\pom.xml.
2017-04-25 16:29:58,297 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-25 16:29:58,302 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\project\eclipse\ControlAndroid\ClientExcutor\src\main\resources
2017-04-25 16:29:58,304 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-25 16:29:58,305 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\project\eclipse\ControlAndroid\ClientExcutor\src\test\resources
2017-04-25 16:29:59,854 [Worker-10] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: ClientExcutor:ClientExcutor:0.0.1-SNAPSHOT @ D:\project\eclipse\ControlAndroid\ClientExcutor\pom.xml.
2017-04-25 16:30:00,655 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-25 16:30:00,657 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\project\eclipse\ControlAndroid\ClientExcutor\src\main\resources
2017-04-25 16:30:00,659 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
